,symbol,initialMargin,maintMargin,unrealizedProfit,positionInitialMargin,openOrderInitialMargin,leverage,isolated,entryPrice,breakEvenPrice,maxNotional,positionSide,positionAmt,notional,isolatedWallet,updateTime,bidNotional,askNotional
0,SNTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
1,SUSHIUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
2,INJUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,50000,BOTH,0.0,0,0,0,0,0
3,STRAXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,0,BOTH,0,0,0,0,0,0
4,BNTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
5,SAGAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
6,RDNTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
7,ZRXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
8,HIGHUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
9,XAIUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
10,WAVESUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,50000,BOTH,0.0,0,0,0,0,0
11,SPELLUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
12,XTZUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,150000,BOTH,0.0,0,0,0,0,0
13,BNBUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,250000,BOTH,0.00,0,0,0,0,0
14,DARUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
15,JOEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
16,ETCUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,400000,BOTH,0.00,0,0,0,0,0
17,PENDLEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
18,XMRUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,150000,BOTH,0.000,0,0,0,0,0
19,GLMRUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,0,BOTH,0,0,0,0,0,0
20,ALICEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
21,HOOKUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
22,BNBUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,250000,BOTH,0.00,0,0,0,0,0
23,ACEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
24,REEFUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
25,BATUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
26,1000BONKUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
27,DOGEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,900000,BOTH,0,0,0,0,0,0
28,TRXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,90000,BOTH,0,0,0,0,0,0
29,STORJUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
30,SNXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,50000,BOTH,0.0,0,0,0,0,0
31,XLMUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,150000,BOTH,0,0,0,0,0,0
32,DOGEUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,1100000,BOTH,0,0,0,0,0,0
33,IOTXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
34,ARKUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,0,BOTH,0,0,0,0,0,0
